Wall time,Step,Value
1761836342.242166,0,7.463995456695557
1761836411.3330624,1,8.92800521850586
1761836476.1872838,2,10.511724472045898
1761836544.9913568,3,8.537883758544922
1761836584.786298,4,7.469065189361572
1761836614.2455685,5,9.035181999206543
1761836643.6320245,6,9.35887336730957
1761836673.3381472,7,9.221718788146973
1761836702.5258658,8,7.347708702087402
1761836732.0606287,9,9.36343002319336
1761836760.960767,10,8.49240493774414
1761836790.6332195,11,9.569937705993652
1761836820.3272471,12,9.233514785766602
1761836850.6708138,13,9.256437301635742
1761836879.9710867,14,10.36519718170166
1761836909.1708853,15,7.169440269470215
1761836938.8254826,16,8.607614517211914
1761836968.4826381,17,6.591927528381348
1761836998.8472624,18,8.11259651184082
1761837028.4452555,19,7.065770626068115
1761837058.2444968,20,8.99459457397461
1761837088.2123115,21,9.2769193649292
1761837117.9184854,22,9.518513679504395
1761837147.6195157,23,7.667018890380859
1761837177.3444648,24,8.555131912231445
1761837207.0430155,25,8.6316499710083
1761837236.2216134,26,9.266946792602539
1761837265.5867987,27,11.369101524353027
1761837294.895948,28,11.323221206665039
1761837324.3068533,29,6.806723117828369
1761837354.0511675,30,7.936858177185059
1761837383.819151,31,9.096545219421387
1761837413.4957016,32,9.334142684936523
1761837443.2578313,33,6.0455322265625
1761837473.210909,34,8.79063892364502
1761837502.5485287,35,10.572539329528809
1761837532.2797008,36,7.179383277893066
1761837562.2348025,37,8.967889785766602
1761837591.7763255,38,9.936420440673828
1761837621.4130833,39,8.609708786010742
1761837650.8444626,40,7.993057727813721
1761837681.2340963,41,10.228119850158691
1761837710.4607894,42,7.339349746704102
1761837740.7852201,43,6.7848944664001465
1761837770.7264185,44,10.355170249938965
1761837800.8969476,45,7.253225326538086
1761837830.4703367,46,10.455526351928711
1761837860.3457332,47,7.773711204528809
1761837890.2503474,48,8.128470420837402
1761837919.946798,49,9.008959770202637
1761837949.34778,50,10.376338958740234
1761837978.9661293,51,9.134445190429688
1761838008.5177193,52,6.9506001472473145
1761838038.6354344,53,7.306251049041748
1761838067.8947554,54,7.890721797943115
1761838097.517132,55,9.720573425292969
1761838127.7554758,56,8.510613441467285
1761838157.6118598,57,6.775127410888672
1761838187.2211673,58,9.7676420211792
1761838217.0186894,59,7.267253875732422
1761838249.5430186,60,7.81479549407959
1761838279.4614773,61,8.192166328430176
1761838309.3079114,62,8.295620918273926
1761838339.3145874,63,10.537185668945312
1761838369.3048947,64,7.415622234344482
1761838406.2344084,65,8.621023178100586
1761838435.980505,66,7.348672866821289
1761838465.6498692,67,9.27568531036377
1761838495.093986,68,11.020631790161133
1761838524.499302,69,8.931367874145508
1761838554.0250368,70,8.576679229736328
1761838583.8126347,71,8.025726318359375
1761838613.747641,72,8.692272186279297
1761838643.6855512,73,7.123627185821533
1761838674.2844806,74,8.580221176147461
1761838703.75674,75,7.894020080566406
1761838734.0594618,76,9.773388862609863
1761838763.9620063,77,6.969969749450684
1761838794.3572845,78,8.125812530517578
1761838824.2713892,79,8.752240180969238
1761838854.293328,80,11.837990760803223
1761838884.2974231,81,8.351000785827637
1761838914.3413987,82,9.853530883789062
1761838944.0946267,83,9.065284729003906
1761838974.0526001,84,7.424910068511963
1761839003.990155,85,8.191764831542969
1761839033.7443318,86,9.117959022521973
1761839064.0891588,87,7.504550933837891
1761839093.7902799,88,8.467891693115234
1761839123.6640382,89,8.194408416748047
1761839153.4630446,90,6.809778690338135
1761839183.225733,91,7.803930282592773
1761839212.9972563,92,7.938787937164307
1761839242.9432828,93,8.497234344482422
1761839273.0402732,94,8.575095176696777
1761839303.0019324,95,10.434414863586426
1761839333.183996,96,8.458649635314941
1761839363.3236532,97,7.22496223449707
1761839393.1993732,98,9.039107322692871
1761839422.9953816,99,7.188812255859375
1761839459.1579247,100,8.270868301391602
1761839489.026179,101,11.691991806030273
1761839528.7110002,102,5.520930767059326
1761839599.2531507,103,8.191142082214355
1761839669.710158,104,7.309359550476074
1761839738.8984425,105,7.343554496765137
1761839808.0861773,106,8.259350776672363
1761839877.5759797,107,9.975714683532715
1761839947.4640052,108,8.112898826599121
1761840016.276749,109,7.395628929138184
1761840086.5855684,110,10.880859375
1761840154.6579022,111,7.428369045257568
1761840224.0970037,112,7.237119674682617
1761840292.7867305,113,7.229248046875
1761840361.2833438,114,9.202996253967285
1761840432.097147,115,9.009060859680176
1761840502.3720355,116,8.285557746887207
1761840574.6389995,117,7.162522792816162
1761840643.6341946,118,8.422286987304688
1761840730.4711196,119,8.150699615478516
1761840802.1394362,120,7.831211566925049
1761840863.3297634,121,9.482999801635742
1761840933.165773,122,10.386434555053711
1761841004.0096192,123,8.936884880065918
1761841074.7296686,124,9.103615760803223
1761841146.6173308,125,6.751635551452637
