Wall time,Step,Value
1761845689.3062377,267,619.0
1761845719.6428514,268,616.0
1761845750.036277,269,609.0
1761845780.2811086,270,600.0
1761845810.2260609,271,628.0
1761845840.180955,272,599.0
1761845870.6690822,273,587.0
1761845901.146613,274,616.0
1761845931.5845773,275,610.0
1761845962.1746154,276,627.0
1761845992.4129636,277,614.0
1761846022.546082,278,606.0
1761846052.7041473,279,605.0
1761846083.2322261,280,597.0
1761846115.551122,281,597.0
1761846184.6923182,282,611.0
1761846254.6839433,283,590.0
1761846324.3691216,284,614.0
1761846392.9247897,285,603.0
1761846461.8743713,286,593.0
1761846530.907112,287,622.0
1761846600.2314184,288,619.0
1761846668.6715243,289,617.0
1761846738.4178915,290,591.0
1761846809.3440192,291,623.0
1761846878.2267008,292,614.0
1761846946.6783674,293,613.0
1761847015.770187,294,627.0
1761847084.8062284,295,624.0
1761847152.603852,296,624.0
1761847222.7072332,297,611.0
1761847292.5351863,298,607.0
1761847362.3012364,299,593.0
1761847431.8932853,300,620.0
1761847501.1578,301,606.0
1761847571.2579575,302,621.0
1761847640.9218838,303,609.0
1761847728.4907296,304,615.0
1761847802.2483516,305,614.0
1761847872.7396345,306,622.0
1761847943.7468874,307,618.0
1761848014.9839182,308,614.0
1761848086.6662843,309,591.0
1761848157.7189255,310,623.0
1761848202.8349879,311,605.0
1761848248.8124642,312,611.0
1761848324.7801895,313,630.0
1761848401.4111724,314,620.0
1761848436.2687712,315,616.0
1761848470.387907,316,623.0
1761848518.7086248,317,600.0
1761848592.8837957,318,600.0
1761848665.2630687,319,595.0
1761848741.9994304,320,624.0
1761848819.4337876,321,611.0
1761848896.3895102,322,618.0
1761848972.0183473,323,629.0
1761849048.9574647,324,596.0
1761849122.9138274,325,626.0
1761849196.0153449,326,598.0
1761849273.921505,327,622.0
1761849350.3160088,328,631.0
1761849427.8572335,329,615.0
1761849504.643423,330,629.0
1761849581.450727,331,620.0
1761849659.2188814,332,626.0
1761849735.9910192,333,628.0
1761849813.2762492,334,605.0
1761849890.0774555,335,629.0
1761849969.1711998,336,602.0
1761850045.0543675,337,604.0
1761850120.8442252,338,630.0
1761850198.4633136,339,623.0
1761850276.1977558,340,624.0
1761850353.7031744,341,588.0
1761850430.8682756,342,635.0
1761850507.088622,343,610.0
1761850583.297594,344,614.0
1761850659.9588199,345,615.0
1761850697.9117846,346,632.0
1761850728.6844804,347,613.0
1761850759.5260513,348,648.0
1761850789.9989345,349,625.0
1761850820.2775834,350,623.0
1761850850.7088494,351,623.0
1761850881.3348253,352,604.0
1761850912.0347822,353,616.0
1761850943.2176511,354,621.0
1761850973.808726,355,631.0
1761851004.0414338,356,611.0
1761851034.9138293,357,616.0
1761851065.2999208,358,621.0
1761851095.8047473,359,619.0
1761851126.2845132,360,627.0
1761851156.4362493,361,623.0
1761851186.9491584,362,606.0
1761851219.7547622,363,621.0
1761851250.6122692,364,626.0
1761851281.3634508,365,611.0
1761851312.0790856,366,622.0
1761851342.8921273,367,623.0
1761851373.8366184,368,637.0
1761851404.3210902,369,612.0
1761851435.1902807,370,618.0
1761851465.8039806,371,615.0
1761851496.6625345,372,611.0
1761851527.4191995,373,626.0
1761851558.662355,374,609.0
1761851589.164438,375,606.0
1761851620.1522691,376,630.0
1761851650.5518212,377,634.0
1761851681.196407,378,607.0
1761851711.5990098,379,616.0
1761851742.1772456,380,637.0
1761851772.9699872,381,632.0
1761851803.8435528,382,642.0
1761851834.6409082,383,622.0
1761851865.239906,384,636.0
1761851895.7808285,385,611.0
1761851926.3663468,386,649.0
1761851956.875985,387,627.0
1761851987.2612252,388,624.0
1761852017.840186,389,646.0
1761852048.0899043,390,635.0
1761852078.9332447,391,617.0
1761852109.7363691,392,621.0
1761852140.643428,393,607.0
1761852171.109651,394,623.0
1761852202.5677652,395,615.0
1761852233.2278085,396,623.0
1761852264.0362594,397,621.0
1761852294.8120291,398,614.0
1761852325.5589,399,641.0
1761852356.2778687,400,612.0
1761852386.551988,401,627.0
1761852416.6007905,402,640.0
1761852447.3207893,403,624.0
1761852477.923258,404,621.0
1761852508.551406,405,622.0
1761852539.6033745,406,609.0
1761852570.327875,407,641.0
1761852601.018889,408,617.0
1761852632.0346284,409,611.0
1761852662.909087,410,587.0
1761852693.557862,411,618.0
1761852724.401072,412,622.0
1761852755.2365878,413,621.0
1761852785.8557196,414,620.0
1761852816.9816487,415,612.0
1761852847.5917315,416,615.0
1761852878.144706,417,613.0
1761852908.7993321,418,614.0
1761852939.5080004,419,621.0
1761852970.0851204,420,601.0
1761853001.0126295,421,608.0
1761853031.8442304,422,611.0
1761853062.3971555,423,654.0
1761853092.888491,424,622.0
1761853123.7358434,425,621.0
1761853154.2685702,426,593.0
1761853185.4383569,427,614.0
1761853216.1421623,428,642.0
1761853246.9454813,429,610.0
1761853277.7665384,430,630.0
1761853308.213424,431,606.0
1761853339.010774,432,604.0
1761853369.8925228,433,630.0
1761853400.6921449,434,612.0
1761853431.576255,435,610.0
1761853462.2111013,436,627.0
1761853493.0650134,437,619.0
1761853524.034508,438,622.0
1761853555.0350304,439,632.0
1761853585.943114,440,624.0
1761853616.1255028,441,652.0
1761853646.916313,442,619.0
1761853677.3404522,443,615.0
1761853708.34216,444,612.0
1761853738.9929442,445,634.0
1761853769.8643405,446,623.0
1761853801.0777225,447,607.0
1761853832.0000043,448,623.0
1761853862.4513435,449,618.0
1761853893.5792665,450,632.0
1761853924.3412704,451,630.0
1761853955.450372,452,631.0
1761853986.2252195,453,634.0
1761854017.153595,454,618.0
1761854048.368189,455,628.0
1761854079.0719814,456,624.0
1761854109.6876268,457,624.0
1761854140.3946016,458,640.0
1761854171.0204337,459,618.0
1761854201.488591,460,619.0
1761854232.1706471,461,632.0
1761854262.7664504,462,631.0
1761854293.694521,463,631.0
1761854324.2697792,464,628.0
1761854355.0806785,465,632.0
1761854385.2545295,466,647.0
1761854415.7615976,467,630.0
1761854446.4349875,468,635.0
1761854477.2044768,469,625.0
1761854508.1646645,470,618.0
1761854538.691799,471,625.0
1761854569.3269212,472,631.0
1761854600.271193,473,642.0
1761854631.3002315,474,614.0
1761854661.6110773,475,645.0
1761854692.2352278,476,617.0
1761854722.923859,477,636.0
1761854753.801877,478,629.0
1761854785.0073454,479,614.0
1761854815.8363688,480,622.0
1761854846.69675,481,605.0
1761854877.6686766,482,615.0
1761854908.7406576,483,613.0
1761854939.6483493,484,647.0
1761854970.2373157,485,651.0
1761855000.5808878,486,647.0
1761855031.1273487,487,614.0
1761855062.0110261,488,624.0
1761855092.8520958,489,599.0
1761855123.2132828,490,626.0
1761855153.8485956,491,641.0
1761855184.779935,492,626.0
1761855215.8792531,493,633.0
1761855246.4186337,494,636.0
1761855277.7245443,495,618.0
1761855308.6192744,496,630.0
1761855339.4457781,497,632.0
1761855370.5474923,498,603.0
1761855401.2367356,499,612.0
1761855431.611699,500,630.0
1761855462.4647636,501,643.0
1761855493.45176,502,615.0
1761855524.3377512,503,639.0
1761855554.9286196,504,648.0
1761855585.5538185,505,623.0
1761855616.015883,506,646.0
1761855646.6052253,507,619.0
1761855677.7100918,508,636.0
1761855708.465372,509,629.0
1761855739.4791815,510,626.0
1761855770.3438997,511,645.0
1761855801.2634437,512,653.0
1761855832.766089,513,621.0
1761855863.521887,514,636.0
1761855894.4773726,515,638.0
1761855925.1163816,516,631.0
1761855956.2960193,517,617.0
1761855987.3048673,518,647.0
1761856018.3710647,519,605.0
1761856049.0928755,520,605.0
1761856079.6240172,521,623.0
1761856110.2101138,522,639.0
1761856141.2019634,523,642.0
1761856172.1825526,524,629.0
1761856203.2611816,525,617.0
1761856233.6952844,526,626.0
1761856264.5553133,527,626.0
1761856295.332207,528,612.0
1761856326.372209,529,634.0
1761856357.5591464,530,614.0
1761856388.1315436,531,643.0
1761856418.7297683,532,650.0
1761856449.7003431,533,631.0
1761856480.391759,534,639.0
1761856511.4154053,535,639.0
1761856542.3540976,536,629.0
1761856573.100724,537,636.0
1761856603.7490559,538,643.0
1761856634.6894622,539,636.0
1761856665.3923805,540,649.0
1761856696.3568716,541,611.0
1761856727.043534,542,614.0
1761856757.8521037,543,639.0
1761856789.523887,544,651.0
1761856819.7443068,545,620.0
1761856850.434886,546,619.0
1761856881.4368837,547,627.0
1761856912.3234437,548,637.0
1761856943.3933954,549,627.0
1761856974.3966746,550,612.0
1761857005.1641037,551,620.0
1761857035.567824,552,632.0
1761857065.8937547,553,638.0
1761857097.0455363,554,622.0
1761857128.0905757,555,625.0
1761857158.920882,556,640.0
1761857189.8681526,557,629.0
1761857220.617478,558,634.0
1761857251.3506968,559,637.0
1761857281.6478283,560,640.0
1761857312.346854,561,629.0
1761857343.237548,562,632.0
1761857374.559109,563,645.0
1761857405.1991117,564,641.0
1761857436.3082743,565,626.0
1761857467.1673117,566,609.0
1761857497.6747863,567,648.0
1761857529.0365028,568,622.0
1761857560.1694436,569,621.0
1761857591.257341,570,629.0
1761857622.2853632,571,625.0
1761857653.142076,572,627.0
1761857684.2947383,573,617.0
1761857715.0772583,574,605.0
1761857745.9000673,575,644.0
1761857776.6734104,576,627.0
1761857807.520129,577,625.0
1761857838.4362814,578,650.0
1761857869.5305285,579,622.0
1761857900.8970704,580,636.0
1761857931.8557842,581,637.0
1761857962.5768895,582,625.0
1761857993.663903,583,650.0
1761858024.1497345,584,640.0
1761858055.0186346,585,634.0
1761858086.0756042,586,638.0
