Wall time,Step,Value
1761836342.242166,0,4.351139068603516
1761836411.3330624,1,-14.939769744873047
1761836476.1872838,2,-0.5957410931587219
1761836544.9913568,3,2.8440940380096436
1761836584.7852757,4,-1.7384089231491089
1761836614.2455685,5,-8.396736145019531
1761836643.6320245,6,-9.117583274841309
1761836673.3381472,7,-3.381662130355835
1761836702.5258658,8,6.449672222137451
1761836732.0606287,9,5.6330718994140625
1761836760.960767,10,5.829503059387207
1761836790.6332195,11,-3.8292179107666016
1761836820.3272471,12,2.5749950408935547
1761836850.6708138,13,-0.16422723233699799
1761836879.9710867,14,6.007500171661377
1761836909.1708853,15,5.3780059814453125
1761836938.8254826,16,1.2919301986694336
1761836968.4826381,17,-0.46803560853004456
1761836998.8472624,18,2.792614221572876
1761837028.4452555,19,4.721531391143799
1761837058.2444968,20,2.509908437728882
1761837088.2123115,21,-2.280505895614624
1761837117.9184854,22,4.812009811401367
1761837147.6195157,23,2.769451141357422
1761837177.3444648,24,6.765511989593506
1761837207.0430155,25,3.2688395977020264
1761837236.2216134,26,2.8842952251434326
1761837265.5867987,27,3.4477953910827637
1761837294.895948,28,-18.764677047729492
1761837324.3068533,29,2.722426176071167
1761837354.0511675,30,0.26307183504104614
1761837383.819151,31,3.079813241958618
1761837413.4957016,32,5.952557563781738
1761837443.2578313,33,4.078883171081543
1761837473.210909,34,6.4934611320495605
1761837502.5485287,35,3.8753206729888916
1761837532.2797008,36,6.719823360443115
1761837562.2348025,37,5.225584983825684
1761837591.7763255,38,6.27672815322876
1761837621.4130833,39,-7.2773003578186035
1761837650.8444626,40,4.777495861053467
1761837681.2340963,41,-1.945246934890747
1761837710.4607894,42,-2.291811466217041
1761837740.7852201,43,2.5685794353485107
1761837770.7264185,44,5.5621256828308105
1761837800.8969476,45,6.890096187591553
1761837830.4703367,46,5.072947978973389
1761837860.3457332,47,5.237258434295654
1761837890.2503474,48,2.9657413959503174
1761837919.946798,49,6.36790657043457
1761837949.34778,50,4.664310932159424
1761837978.9661293,51,5.9070000648498535
1761838008.5177193,52,-0.4990653097629547
1761838038.6354344,53,6.4734063148498535
1761838067.8947554,54,4.712708950042725
1761838097.517132,55,5.532722473144531
1761838127.7554758,56,-6.5063676834106445
1761838157.6118598,57,4.882965564727783
1761838187.2211673,58,3.3605027198791504
1761838217.0186894,59,4.184347629547119
1761838249.5430186,60,4.923088073730469
1761838279.4614773,61,-1.3565342426300049
1761838309.3079114,62,5.212156295776367
1761838339.3134959,63,5.695986270904541
1761838369.3048947,64,4.550914764404297
1761838406.2344084,65,7.029689311981201
1761838435.980505,66,3.3517909049987793
1761838465.6498692,67,6.842087745666504
1761838495.093986,68,2.0186450481414795
1761838524.499302,69,3.539076328277588
1761838554.0250368,70,6.953269958496094
1761838583.8126347,71,2.722986936569214
1761838613.747641,72,6.724063396453857
1761838643.6855512,73,6.846945285797119
1761838674.2844806,74,-2.3113138675689697
1761838703.75674,75,4.418171405792236
